date time,date,time,seconds since 1970,Water Temperature @1.0m,CurrentDirection @7.0m,CurrentMagnitude @7.0m,Turbidity @26.0m,Water Pressure @26.0m,Water Temperature @26.0m,PAR @26.0m
2013-11-30T00:00:00+1000,30/11/2013,0:00:00,1.39E+09,27.7146,117.4424,0.2807,28.1792,27.2366,Not available,
2013-12-01T00:00:00+1000,1/12/2013,0:00:00,1.39E+09,27.5482,203.9826,0.2492,28.274,27.4718,Not available,
2013-12-02T00:00:00+1000,2/12/2013,0:00:00,1.39E+09,27.3981,234.8486,0.2839,28.389,27.4055,Not available,
2013-12-03T00:00:00+1000,3/12/2013,0:00:00,1.39E+09,27.2381,228.0625,0.2633,28.3275,27.2448,Not available,
2013-12-04T00:00:00+1000,4/12/2013,0:00:00,1.39E+09,27.3448,192.3764,0.2776,28.2457,27.2109,Not available,
2013-12-05T00:00:00+1000,5/12/2013,0:00:00,1.39E+09,27.3825,150.6063,0.2776,28.1801,27.2765,Not available,
2013-12-06T00:00:00+1000,6/12/2013,0:00:00,1.39E+09,27.6291,135.5361,0.2846,28.1639,27.4207,Not available,
2013-12-07T00:00:00+1000,7/12/2013,0:00:00,1.39E+09,27.5482,191.1719,0.2099,28.237,27.4839,Not available,
2013-12-08T00:00:00+1000,8/12/2013,0:00:00,1.39E+09,27.5099,257.6319,0.1828,28.2866,27.5195,Not available,
2013-12-09T00:00:00+1000,9/12/2013,0:00:00,1.39E+09,27.4616,209.1539,0.1402,28.2743,27.4477,Not available,
2013-12-10T00:00:00+1000,10/12/2013,0:00:00,1.39E+09,27.6818,129.5799,0.1987,28.196,27.4344,Not available,
2013-12-11T00:00:00+1000,11/12/2013,0:00:00,1.39E+09,27.8529,126.9444,0.2338,28.1731,27.5132,Not available,
2013-12-12T00:00:00+1000,12/12/2013,0:00:00,1.39E+09,27.8899,128.9674,0.2314,28.1891,27.5724,Not available,
2013-12-13T00:00:00+1000,13/12/2013,0:00:00,1.39E+09,28.0234,110.7729,0.2097,28.222,27.1653,Not available,
2013-12-14T00:00:00+1000,14/12/2013,0:00:00,1.39E+09,27.8825,168.145,0.1885,28.2202,27.0665,Not available,
2013-12-15T00:00:00+1000,15/12/2013,0:00:00,1.39E+09,27.7333,216.5111,0.1993,28.254,27.4256,Not available,
2013-12-16T00:00:00+1000,16/12/2013,0:00:00,1.39E+09,27.5904,230.1042,0.2003,28.2914,27.5947,Not available,
2013-12-17T00:00:00+1000,17/12/2013,0:00:00,1.39E+09,27.4471,243.2569,0.1971,28.3159,27.4599,Not available,
2013-12-18T00:00:00+1000,18/12/2013,0:00:00,1.39E+09,27.3735,262.5722,0.2062,28.3279,27.3751,Not available,
2013-12-19T00:00:00+1000,19/12/2013,0:00:00,1.39E+09,27.3111,296.5535,0.2561,28.3965,27.3236,Not available,
2013-12-20T00:00:00+1000,20/12/2013,0:00:00,1.39E+09,27.2338,288.1354,0.213,28.3956,27.2483,Not available,
2013-12-21T00:00:00+1000,21/12/2013,0:00:00,1.39E+09,27.2101,256.3472,13.6598,28.332,27.2148,Not available,
2013-12-22T00:00:00+1000,22/12/2013,0:00:00,1.39E+09,27.1278,180.7882,0.1187,28.2666,27.1167,Not available,
