date time,date,time,seconds since 1970,Water Temperature @1.0m,CurrentDirection @7.0m,CurrentMagnitude @7.0m,CurrentDirection @7.0m,Turbidity @26.0m,Water Pressure @26.0m,Water Temperature @26.0m,PAR @26.0m
2013-09-20T06:15:00+1000,20/09/2013,6:15:00,1.38E+09,23.99,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T06:30:00+1000,20/09/2013,6:30:00,1.38E+09,24,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T06:45:00+1000,20/09/2013,6:45:00,1.38E+09,24.02,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T07:00:00+1000,20/09/2013,7:00:00,1.38E+09,24.03,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T07:15:00+1000,20/09/2013,7:15:00,1.38E+09,24.03,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T07:30:00+1000,20/09/2013,7:30:00,1.38E+09,24.04,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T07:45:00+1000,20/09/2013,7:45:00,1.38E+09,24.05,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T08:00:00+1000,20/09/2013,8:00:00,1.38E+09,24.07,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T08:15:00+1000,20/09/2013,8:15:00,1.38E+09,24.12,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T08:30:00+1000,20/09/2013,8:30:00,1.38E+09,24.12,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T08:45:00+1000,20/09/2013,8:45:00,1.38E+09,24.2,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T09:00:00+1000,20/09/2013,9:00:00,1.38E+09,24.21,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T09:15:00+1000,20/09/2013,9:15:00,1.38E+09,24.23,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T09:30:00+1000,20/09/2013,9:30:00,1.38E+09,24.28,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T09:45:00+1000,20/09/2013,9:45:00,1.38E+09,24.37,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T10:00:00+1000,20/09/2013,10:00:00,1.38E+09,24.37,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T10:15:00+1000,20/09/2013,10:15:00,1.38E+09,24.4,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T10:30:00+1000,20/09/2013,10:30:00,1.38E+09,24.43,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T10:45:00+1000,20/09/2013,10:45:00,1.38E+09,24.48,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T11:00:00+1000,20/09/2013,11:00:00,1.38E+09,24.5,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T11:15:00+1000,20/09/2013,11:15:00,1.38E+09,24.7,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T11:30:00+1000,20/09/2013,11:30:00,1.38E+09,24.6,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T11:45:00+1000,20/09/2013,11:45:00,1.38E+09,24.56,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T12:00:00+1000,20/09/2013,12:00:00,1.38E+09,24.57,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T12:15:00+1000,20/09/2013,12:15:00,1.38E+09,24.82,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T12:30:00+1000,20/09/2013,12:30:00,1.38E+09,24.91,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T12:45:00+1000,20/09/2013,12:45:00,1.38E+09,24.95,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T13:00:00+1000,20/09/2013,13:00:00,1.38E+09,24.89,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T13:15:00+1000,20/09/2013,13:15:00,1.38E+09,24.87,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T13:30:00+1000,20/09/2013,13:30:00,1.38E+09,24.8,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T13:45:00+1000,20/09/2013,13:45:00,1.38E+09,24.88,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T14:00:00+1000,20/09/2013,14:00:00,1.38E+09,24.84,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T14:15:00+1000,20/09/2013,14:15:00,1.38E+09,24.8,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T14:30:00+1000,20/09/2013,14:30:00,1.38E+09,24.81,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T14:45:00+1000,20/09/2013,14:45:00,1.38E+09,24.83,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T15:00:00+1000,20/09/2013,15:00:00,1.38E+09,24.8,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T15:15:00+1000,20/09/2013,15:15:00,1.38E+09,24.74,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T15:30:00+1000,20/09/2013,15:30:00,1.38E+09,24.67,Not available,Not available,Not available,Not available,Not available,Not available,Not available
